,Name,Longitude,Latitude,CO2 (mg C m¯² d¯¹),CH4 (mg C m-2 d-1),CO2 (g/kWh),CH4 (g/kWh),Area / Electricity,Area,Age,Erosion,Tmax,Tmean,Tmin,Volume,Volume / Area,orgC,NPP
102,Red Indian,-57.08333333,49.3,208.4,NA,NA,NA,NA,184,93,0.172350731,21.6,3.5,-13.2,NA,NA,5.902999878,547.2714233
103,Revelstoke,-118.2,51,600,NA,13.86893882,NA,0.017271406,120,8,9.893969561,25.4,5.9,-9.8,5.3,0.044166667,2.772000074,468.9075012
104,RibeirÃ£o das Lages,-43.88333333,-22.7,22.1,NA,NA,NA,NA,30,95,68.37011072,30.2,21.5,12.3,0.5,0.016666667,1.246999979,1005.612
105,Robert-Bourassa,-77,53.66666667,409.1,13,41.20980613,0.476191622,0.07526738,2815,15,0.082237887,18.1,-3.4,-27.9,61.7,0.021918295,3.359999895,20.92338967
106,Robert-Bourassa,-77,53.66666667,465.3,7.9,47.20400074,0.291433957,0.075802139,2835,20,0.082237887,18.1,-3.4,-27.9,61.7,0.021763668,3.359999895,20.92338967
107,Robertson,-59.88333333,51,384,6.1,249.425969,1.440812889,0.48534007,73,7,0.172823029,16.9,-0.2,-19.2,NA,NA,1.745000005,541.222229
108,Sainte-Marguerite 2,-67.06666667,50.51666667,410.7,4.1,NA,NA,NA,NA,NA,0.162625042,19.3,-1.5,-24.4,NA,NA,1.745000005,556.527771
109,Sainte-Marguerite 3,-67.03333333,51.66666667,1495.6,2.7,193.145302,0.126794309,0.096494908,253,4,0.170145533,18,-4,-28,11.9,0.047035573,1.883000016,516.527771
110,Samuel,-63.41666667,-8.8,1171.5,100,1738.125382,53.95182188,1.10859908,559,15,129.5956151,33,26,18.6,5,0.008944544,1.317000031,769.8878784
111,Samuel,-63.41666667,-8.8,NA,262,NA,141.3537733,1.10859908,559,12,129.5956151,33,26,18.6,5,0.008944544,1.317000031,769.8878784
112,Samuel,-63.41666667,-8.8,1909.1,13,2832.484137,7.013736845,1.10859908,559,12,129.5956151,33,26,18.6,5,0.008944544,1.317000031,769.8878784
113,Samuel,-63.41666667,-8.8,2205.5,NA,3272.245437,NA,1.10859908,559,16,129.5956151,33,26,18.6,5,0.008944544,1.317000031,769.8878784
114,Sandy,-57.05,49.41666667,684.5,NA,7209.947892,NA,7.870356025,508,39,0.175055792,21.3,3.3,-13.4,2.7,0.005314961,5.902999878,567.3737183
115,Santa Maria,8.8,46.56666667,NA,0.2,NA,0.000372925,0.003831418,1,38,0.404584848,11.1,0.1,-9.8,0.1,0.1,1.120000005,542.6947021
116,Segredo,-52.1,-25.78333333,600,29.9,15.16769557,0.274857029,0.018888787,82,13,120.3333394,28.3,17.9,6.8,3,0.036585366,1.81099999,673.84198
117,Segredo,-52.1,-25.78333333,1306.1,5,33.0175453,0.045962714,0.018888787,82,13,120.3333394,28.3,17.9,6.8,3,0.036585366,1.81099999,673.84198
118,Serra da Mesa,-48.33333333,-13.85,1090.9,80,385.869377,10.2899358,0.264296296,1784,1,105.0259379,32.6,25.1,17.1,54.4,0.030493274,0.819999993,688.072876
