LONG_DD,LAT_DD,pres_co2,ssp126_co2,ssp585_co2,ssp126_minus_pres_co2,ssp585_minus_pres_co2,pres_ch4,ssp126_ch4,ssp585_ch4,ssp126_minus_pres_ch4,ssp585_minus_pres_ch4
-92.646848,45.412256,187.355744,186.4913711,105.0147334,-0.864372899,-82.34101059,6.162236053,3.314342022,3.21061013,-2.847894031,-2.951625923
-70.210339,44.153322,149.8858874,185.3571721,184.7441085,35.47128472,34.85822106,3.450021744,3.860702346,3.870128956,0.410680602,0.420107212
-119.450339,37.144915,95.48138244,101.5101967,152.0754655,6.028814307,56.59408306,21.33365182,22.10523816,22.63017147,0.771586342,1.296519651
-80.877648,34.541573,124.8291692,95.25030254,121.0398347,-29.57886669,-3.789334506,4.111643877,9.777057651,16.94529104,5.665413773,12.83364716
-68.607909,45.632667,312.559522,300.5804103,293.3794477,-11.97911165,-19.18007428,1.782045376,1.659395148,1.584042579,-0.122650229,-0.198002797
-73.720342,43.273357,143.1212731,144.0494622,140.9579214,0.928189113,-2.163351679,7.018599337,7.090197515,4.081610429,0.071598178,-2.936988908
-71.166022,42.700516,311.4380518,310.927585,310.5092555,-0.510466791,-0.928796302,1.771933177,1.764616612,1.755916632,-0.007316564,-0.016016545
-81.090611,35.757868,139.9629922,141.805316,96.54531312,1.842323872,-43.41767905,7.473003475,7.54089763,9.846831954,0.067894155,2.373828478
-73.757383,43.234197,209.8867026,209.0077694,120.0076934,-0.878933217,-89.87900918,1.616462599,1.572254506,1.536689298,-0.044208093,-0.079773301
-122.422715,46.53478,350.5017256,403.6653869,416.5830672,53.16366131,66.08134165,3.005816061,3.266637865,3.656943069,0.260821804,0.651127008
-69.888418,44.798841,121.5556171,121.7075429,184.7905964,0.151925764,63.2349793,1.884802659,1.77853766,1.670632004,-0.106264999,-0.214170655
-108.7129,40.108072,182.6058903,182.2973131,143.5041864,-0.308577221,-39.10170394,28.2911484,28.98181959,29.78373106,0.690671197,1.492582665
-122.328648,41.282818,249.8385643,252.8642898,255.1779866,3.025725472,5.33942228,15.72200719,16.86858044,40.51574797,1.146573247,24.79374078
-71.747262,43.188119,308.2654705,203.3324776,202.5979999,-104.9329928,-105.6674705,0.795746443,0.797388437,1.825204509,0.001641994,1.029458066
-84.342599,44.041505,177.323527,177.6272782,177.0941653,0.303751194,-0.229361711,3.494580102,3.364741197,3.780723493,-0.129838905,0.286143391
-73.886836,43.296474,228.0142468,225.7357055,223.9918332,-2.278541341,-4.022413648,0.873969852,0.848206017,1.216149501,-0.025763836,0.342179648
-84.866115,30.708037,614.8262462,629.1043872,816.2071307,14.27814097,201.3808845,15.33166119,24.39338103,23.62904969,9.061719833,8.297388492
-91.339338,44.938059,140.0457455,137.8059857,102.0634406,-2.239759782,-37.98230481,3.572875249,3.448113902,3.300354939,-0.124761347,-0.27252031
-111.694731,42.644502,31.63782517,31.62328192,31.46945896,-0.014543253,-0.168366209,7.934484991,8.051043692,8.213299181,0.116558701,0.278814191
-93.195081,34.574105,152.4578724,218.1408033,421.9939131,65.68293092,269.5360407,16.17543156,15.20564924,26.03106537,-0.96978232,9.855633813
-119.997266,38.393724,281.479284,281.4925783,281.016271,0.013294255,-0.463013047,22.47933414,22.92415507,23.85457937,0.444820922,1.375245229
-121.751899,47.412784,125.7262717,124.3121213,121.8209254,-1.414150434,-3.905346342,4.296484961,4.514026094,5.196935786,0.217541133,0.900450825
-111.343282,33.591111,31.45018103,31.39736462,58.5985326,-0.052816407,27.14835157,14.52127737,21.27315631,21.48228668,6.751878935,6.961009311
-91.992829,35.520559,209.841063,212.9472173,458.8523475,3.106154284,249.0112845,15.78362481,16.53684214,25.65465098,0.753217329,9.871026168
-111.727374,46.648333,32.53586155,32.31175687,31.87061406,-0.224104675,-0.665247487,15.66465782,16.2194911,17.10331203,0.554833278,1.438654213
-118.764728,34.645013,271.1738837,407.6550049,454.3045441,136.4811212,183.1306603,27.83723221,27.86822916,34.08222366,0.030996951,6.244991451
-83.153466,35.196105,134.3564743,133.5197102,156.5860976,-0.836764088,22.22962332,0.98755661,1.174518023,2.750251652,0.186961413,1.762695042
-84.376639,43.81499,84.13036369,83.0496378,137.2264136,-1.080725893,53.09604993,6.72436751,6.828307614,7.039465863,0.103940104,0.315098353
-112.873708,42.779062,336.9109818,338.4709782,333.8554053,1.55999635,-3.05557655,27.50353299,24.88598524,25.70758825,-2.617547755,-1.795944739
-122.311681,46.800766,114.4844054,128.9164535,126.9347166,14.43204807,12.45031119,1.313631751,1.471089149,1.771156052,0.157457398,0.457524301
-76.302083,43.227083,258.4047032,253.4221194,126.2443333,-4.982583829,-132.1603699,1.533149375,1.465817294,1.464300389,-0.067332082,-0.068848986
-121.087815,40.174792,120.4465441,197.3984367,200.1474093,76.95189254,79.70086512,3.865107555,3.995042047,4.151778439,0.129934492,0.286670884
-120.642108,39.327475,126.8195976,126.2329866,124.9738624,-0.586610975,-1.845735179,6.648260414,7.244459744,8.043563453,0.59619933,1.395303039
-120.850562,38.257854,75.00683909,75.83137537,192.5289881,0.824536284,117.522149,7.087496921,7.221262121,7.388141332,0.1337652,0.300644411
-118.967372,37.003905,30.88116094,51.0082181,71.61514389,20.12705716,40.73398295,14.66982745,20.16786756,25.12186131,5.498040116,10.45203387
-91.046074,45.492105,702.4588376,691.5132344,648.0079179,-10.94560323,-54.45091971,1.87088303,1.607902908,1.357720644,-0.262980123,-0.513162386
-94.183802,46.378651,87.64900593,92.25638329,94.27620826,4.607377353,6.627202329,7.648997147,7.766512581,10.29469236,0.117515433,2.645695217
-91.763742,47.932504,81.21221868,82.46756963,81.71967918,1.255350951,0.507460499,6.11553564,6.077645209,6.843445503,-0.03789043,0.727909863
-119.301896,37.14375,228.8241605,228.4137678,227.8603197,-0.410392687,-0.963840821,3.756717746,4.398449947,7.256047682,0.641732201,3.499329937
-82.185319,35.425826,191.2474767,192.1986921,129.3230989,0.951215413,-61.92437773,4.719013673,4.778018894,10.32257131,0.059005221,5.603557634
-83.202083,33.141394,157.7257529,413.9593782,618.4705873,256.2336254,460.7448344,14.88790441,21.95098426,26.79651572,7.063079851,11.90861131
-115.313542,48.411432,224.498117,189.0178829,225.7565368,-35.48023418,1.258419806,25.86580593,24.55746622,19.58012173,-1.308339711,-6.285684205
-81.331876,34.261911,239.8223349,239.6394178,239.6214242,-0.182917093,-0.200910753,8.041999945,12.14419126,36.16609532,4.102191318,28.12409537
